db,Anchor,Positive,Negative,anc_pos_dist,anc_neg_dist
1,OPUS/3830-12531-0003_OPUS_64k.wav,MP3/3830-12531-0003_MP3_64k.wav,NOISE/3830-12531-0003_NOISE_8.wav,0.0007931004999995,0.2501595165937498
1,NOISE/3830-12531-0003_NOISE_8.wav,CLIP/3830-12531-0003_CLIP_25.wav,OPUS/3830-12531-0003_OPUS_128k.wav,0.0220445181249997,0.2529667788437502
1,OPUS/3830-12531-0003_OPUS_32k.wav,MP3/3830-12531-0003_MP3_64k.wav,CLIP/3830-12531-0003_CLIP_40.wav,0.0103680395625002,0.33202094190625
1,MP3/3830-12531-0007_MP3_32k.wav,OPUS/3830-12531-0007_OPUS_16k.wav,CLIP/3830-12531-0007_CLIP_40.wav,0.0110401174375002,0.3154181187187501
1,OPUS/3830-12531-0007_OPUS_8k.wav,MP3/3830-12531-0007_MP3_16k.wav,NOISE/3830-12531-0007_NOISE_25.wav,0.0080792437187499,0.1822579261062499
1,CLIP/3830-12531-0007_CLIP_60.wav,NOISE/3830-12531-0007_NOISE_0.wav,OPUS/3830-12531-0007_OPUS_128k.wav,0.0456410364453126,0.4614028136171875
1,OPUS/3830-12531-0016_OPUS_8k.wav,CLIP/3830-12531-0016_CLIP_5.wav,OPUS/3830-12531-0016_OPUS_128k.wav,0.0281865650093748,0.1738939298531245
1,MP3/3830-12531-0016_MP3_16k.wav,CLIP/3830-12531-0016_CLIP_5.wav,MP3/3830-12531-0016_MP3_64k.wav,0.0143800832218746,0.1282919593406252
1,NOISE/3830-12531-0016_NOISE_25.wav,OPUS/3830-12531-0016_OPUS_64k.wav,CLIP/3830-12531-0016_CLIP_60.wav,0.0005967207187499,0.4664249248406249
1,OPUS/3830-12531-0022_OPUS_8k.wav,NOISE/3830-12531-0022_NOISE_8.wav,MP3/3830-12531-0022_MP3_32k.wav,0.0093395608459374,0.1322220599665627
1,OPUS/3830-12531-0022_OPUS_16k.wav,MP3/3830-12531-0022_MP3_32k.wav,CLIP/3830-12531-0022_CLIP_60.wav,0.0074067910937498,0.4662642993375002
1,OPUS/3830-12531-0022_OPUS_64k.wav,MP3/3830-12531-0022_MP3_64k.wav,MP3/3830-12531-0022_MP3_8k.wav,0.0011293623125001,0.3163245560910311
1,CLIP/3830-12531-0010_CLIP_25.wav,MP3/3830-12531-0010_MP3_8k.wav,OPUS/3830-12531-0010_OPUS_128k.wav,0.02631257729125,0.3162675997812499
1,OPUS/3830-12531-0010_OPUS_128k.wav,MP3/3830-12531-0010_MP3_128k.wav,CLIP/3830-12531-0010_CLIP_60.wav,0.0002896358124999,0.4762378440718748
1,NOISE/3830-12531-0010_NOISE_15.wav,OPUS/3830-12531-0010_OPUS_16k.wav,CLIP/3830-12531-0010_CLIP_25.wav,0.03123405034375,0.230840168
1,NOISE/3830-12531-0023_NOISE_8.wav,OPUS/3830-12531-0023_OPUS_8k.wav,CLIP/3830-12531-0023_CLIP_60.wav,0.039401030916875,0.1877850265937501
1,NOISE/3830-12531-0023_NOISE_0.wav,CLIP/3830-12531-0023_CLIP_60.wav,CLIP/3830-12531-0023_CLIP_10.wav,0.0948832536875,0.365619306375
1,MP3/3830-12531-0023_MP3_64k.wav,OPUS/3830-12531-0023_OPUS_64k.wav,OPUS/3830-12531-0023_OPUS_8k.wav,0.0023604270312495,0.232149468301875
1,OPUS/3830-12531-0008_OPUS_128k.wav,NOISE/3830-12531-0008_NOISE_40.wav,OPUS/3830-12531-0008_OPUS_8k.wav,0.0002275635937496,0.1797542188593752
1,OPUS/3830-12531-0008_OPUS_16k.wav,NOISE/3830-12531-0008_NOISE_15.wav,MP3/3830-12531-0008_MP3_16k.wav,0.0133383797500001,0.1376180051875001
1,CLIP/3830-12531-0008_CLIP_25.wav,NOISE/3830-12531-0008_NOISE_8.wav,NOISE/3830-12531-0008_NOISE_25.wav,0.0359914271875,0.2801900612812501
1,MP3/3830-12531-0006_MP3_128k.wav,OPUS/3830-12531-0006_OPUS_128k.wav,CLIP/3830-12531-0006_CLIP_10.wav,6.549396874966362e-05,0.1554762523437499
1,CLIP/3830-12531-0006_CLIP_40.wav,MP3/3830-12531-0006_MP3_8k.wav,CLIP/3830-12531-0006_CLIP_10.wav,0.0346935140272186,0.2184030119374996
